date,CIN,name,petrol,diesel,gas,electro,hybrid,plugInHybrid,others
01.01.2022,14625,"Bautzen, Landkreis",125006.0,50680,1228,974,3084,982,87
01.01.2022,14626,"Görlitz, Landkreis",104256.0,35157,958,581,2057,638,74
01.01.2022,14627,"Meißen, Landkreis",94141.0,40092,930,825,2778,779,65
01.01.2022,14628,"Sächsische Schweiz-Osterzgebirge, Landkreis",99291.0,39552,969,939,3075,949,62
01.01.2022,14713,"Leipzig, kreisfreie Stadt",162000.0,57756,2060,2793,7067,2545,103
01.01.2022,14729,"Leipzig, Landkreis",104444.0,44692,1323,1204,2950,1042,64
01.01.2022,14730,"Nordsachsen, Landkreis",79036.0,33893,803,671,2128,725,35
01.01.2022,15001,"Dessau-Roßlau, kreisfreie Stadt",30130.0,9949,295,294,992,313,21
01.01.2022,15002,"Halle (Saale), kreisfreie Stadt",68778.0,22017,765,689,2692,741,64
01.01.2022,15003,"Magdeburg, kreisfreie Stadt",78318.0,28750,703,893,2489,1048,36
01.01.2022,15081,Altmarkkreis Salzwedel,30669.0,18650,353,309,623,300,19
01.01.2022,15082,"Anhalt-Bitterfeld, Landkreis",65714.0,24125,456,434,1696,459,36
01.01.2022,15083,"Börde, Landkreis",69636.0,33880,675,639,1473,604,27
01.01.2022,15084,Burgenlandkreis,71234.0,27430,800,495,1859,590,55
01.01.2022,15085,"Harz, Landkreis",81512.0,37591,1032,919,2212,782,42
01.01.2022,15086,"Jerichower Land, Landkreis",35708.0,16878,322,334,947,302,22
01.01.2022,15087,"Mansfeld-Südharz, Landkreis",54385.0,22752,375,369,1548,361,32
01.01.2022,15088,Saalekreis,79328.0,31368,793,628,2548,720,46
01.01.2022,15089,Salzlandkreis,73436.0,28433,698,469,1883,480,53
01.01.2022,15090,"Stendal, Landkreis",39813.0,21953,409,359,1031,314,16
01.01.2022,15091,"Wittenberg, Landkreis",52736.0,20171,542,340,1468,373,37
01.01.2022,16051,"Erfurt, kreisfreie Stadt",65301.0,28470,682,1090,2374,1082,27
01.01.2022,16052,"Gera, kreisfreie Stadt",31797.0,11927,282,353,1301,345,12
01.01.2022,16053,"Jena, kreisfreie Stadt",29255.0,13530,266,466,1372,458,18
01.01.2022,16054,"Suhl, kreisfreie Stadt",13231.0,5849,94,141,625,164,7
01.01.2022,16055,"Weimar, kreisfreie Stadt",19864.0,8776,188,811,709,323,10
01.01.2022,16061,"Eichsfeld, Landkreis",37490.0,21066,477,509,912,460,12
01.01.2022,16062,"Nordhausen, Landkreis",32038.0,13744,262,275,811,357,13
01.01.2022,16063,Wartburgkreis,62947.0,28699,610,642,1853,603,29
01.01.2022,16064,Unstrut-Hainich-Kreis,37489.0,17549,340,422,898,452,8
01.01.2022,16065,Kyffhäuserkreis,29856.0,13121,235,235,682,183,11
01.01.2022,16066,"Schmalkalden-Meiningen, Landkreis",48736.0,24850,402,478,1405,461,27
01.01.2022,16067,"Gotha, Landkreis",50988.0,22728,426,507,1584,471,27
01.01.2022,16068,"Sömmerda, Landkreis",26737.0,12712,216,221,512,250,11
01.01.2022,16069,"Hildburghausen, Landkreis",24486.0,13456,180,206,704,189,15
01.01.2022,16070,Ilm-Kreis,38291.0,18221,393,551,1238,380,18
01.01.2022,16071,"Weimarer Land, Landkreis",31840.0,15037,259,345,1001,313,9
01.01.2022,16072,"Sonneberg, Landkreis",24384.0,9134,193,194,740,210,12
01.01.2022,16073,"Saalfeld-Rudolstadt, Landkreis",40236.0,17822,408,317,1193,369,15
01.01.2022,16074,Saale-Holzland-Kreis,32484.0,15114,396,342,1087,342,12
01.01.2022,16075,Saale-Orla-Kreis,32606.0,16411,291,246,653,239,19
01.01.2022,16076,"Greiz, Landkreis",39900.0,18081,343,297,1213,319,12
01.01.2022,16077,"Altenburger Land, Landkreis",36664.0,12926,327,250,968,305,16
